ISO3,year,CIT_rate
ABW,2021,25
ABW,2022,25
ABW,2023,22
ABW,2024,22
AGO,2021,25
AGO,2022,25
AGO,2023,25
AGO,2024,25
AIA,2021,0
AIA,2022,0
AIA,2023,0
AIA,2024,0
ALB,2021,15
ALB,2022,15
ALB,2023,15
ALB,2024,15
AND,2021,10
AND,2022,10
AND,2023,10
AND,2024,10
ARE,2021,0
ARE,2022,0
ARE,2023,0
ARE,2024,9
ARG,2021,30
ARG,2022,30
ARG,2023,30
ARG,2024,30
ARM,2021,18
ARM,2022,18
ARM,2023,18
ARM,2024,18
ATG,2021,25
ATG,2022,25
ATG,2023,25
ATG,2024,25
AUS,2021,30
AUS,2022,30
AUS,2023,30
AUS,2024,30
AUT,2021,25
AUT,2022,25
AUT,2023,24
AUT,2024,23
AZE,2021,20
AZE,2022,20
AZE,2023,20
AZE,2024,20
BEL,2021,25
BEL,2022,25
BEL,2023,25
BEL,2024,25
BEN,2021,30
BEN,2022,30
BEN,2023,30
BEN,2024,30
BFA,2021,27.5
BFA,2022,27.5
BFA,2023,27.5
BFA,2024,27.5
BGR,2021,10
BGR,2022,10
BGR,2023,10
BGR,2024,10
BHR,2021,0
BHR,2022,0
BHR,2023,0
BHR,2024,0
BHS,2021,0
BHS,2022,0
BHS,2023,0
BHS,2024,0
BIH,2021,10
BIH,2022,10
BIH,2023,10
BIH,2024,10
BLZ,2021,0
BLZ,2022,0
BLZ,2023,0
BLZ,2024,0
BMU,2021,0
BMU,2022,0
BMU,2023,0
BMU,2024,0
BRA,2021,34
BRA,2022,34
BRA,2023,34
BRA,2024,34
BRB,2021,5.5
BRB,2022,5.5
BRB,2023,5.5
BRB,2024,9
BRN,2021,18.5
BRN,2022,18.5
BRN,2023,18.5
BRN,2024,18.5
BWA,2021,22
BWA,2022,22
BWA,2023,22
BWA,2024,22
CAN,2021,26.17
CAN,2022,26.12
CAN,2023,26.14
CAN,2024,26.14
CHE,2021,19.698516
CHE,2022,19.653352
CHE,2023,19.653352
CHE,2024,19.608138
CHL,2021,27
CHL,2022,27
CHL,2023,27
CHL,2024,27
CHN,2021,25
CHN,2022,25
CHN,2023,25
CHN,2024,25
CIV,2021,25
CIV,2022,25
CIV,2023,25
CIV,2024,25
CMR,2021,33
CMR,2022,33
CMR,2023,33
CMR,2024,33
COD,2021,30
COD,2022,30
COD,2023,30
COD,2024,30
COG,2021,28
COG,2022,28
COG,2023,28
COG,2024,28
COK,2021,20
COK,2022,20
COK,2023,20
COK,2024,20
COL,2021,31
COL,2022,35
COL,2023,35
COL,2024,35
CPV,2021,22.44
CPV,2022,22.44
CPV,2023,22.44
CPV,2024,22.44
CRI,2021,30
CRI,2022,30
CRI,2023,30
CRI,2024,30
CUW,2021,22
CUW,2022,22
CUW,2023,22
CUW,2024,22
CYM,2021,0
CYM,2022,0
CYM,2023,0
CYM,2024,0
CZE,2021,19
CZE,2022,19
CZE,2023,19
CZE,2024,21
DEU,2021,29.941208
DEU,2022,29.927068
DEU,2023,29.927068
DEU,2024,29.927068
DJI,2021,25
DJI,2022,25
DJI,2023,25
DJI,2024,25
DMA,2021,25
DMA,2022,25
DMA,2023,25
DMA,2024,25
DNK,2021,22
DNK,2022,22
DNK,2023,22
DNK,2024,22
DOM,2021,27
DOM,2022,27
DOM,2023,27
DOM,2024,27
EGY,2021,22.5
EGY,2022,22.5
EGY,2023,22.5
EGY,2024,22.5
ESP,2021,25
ESP,2022,25
ESP,2023,25
ESP,2024,25
EST,2021,20
EST,2022,20
EST,2023,20
EST,2024,20
FIN,2021,20
FIN,2022,20
FIN,2023,20
FIN,2024,20
