"TIME_PERIOD","REF_AREA","MEASURE","UNIT_MEASURE","MEASURE_PRINCIPLE","ACCOUNTING_ENTRY","TYPE_ENTITY","FDI_COMP","SECTOR","COUNTERPART_AREA","LEVEL_COUNTERPART","ACTIVITY","FREQ","FDI_COLLECTION_ID","obsValue","UNIT_MULT","CURRENCY","OBS_STATUS","CONF_STATUS","DECIMALS"
"2021","CHL","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","IMN","_Z","_T","A","CTRY_IND",NA,"6","USD","A","N","2"
"2021","HUN","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","VGB","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","SVK","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","CYM","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","AUT","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","LBR","_Z","_T","A","CTRY_IND",NA,"6","USD","A","N","2"
"2021","NOR","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","IRQ","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","CHE","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","PNG","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","CZE","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","ARM","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","EST","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","MYS","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","AUS","T_D4P_F","USD_EXC","DO","NET_FDI","_Z","D","S1","KIR","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","SWE","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","PRT","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","CZE","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","JEY","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
"2021","USA","T_D4P_F","USD_EXC","DI","NET_FDI","_Z","D","S1","S3","_Z","_T","A","CTRY_IND",NA,"6","USD","A","C","2"
