REF_AREA,MEASURE_PRINCIPLE,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE
IRL,DI,IRL,2015,
IRL,DO,IRL,2015,0
IRL,DI,IRL,2016,0
IRL,DO,IRL,2016,0
IRL,DO,IRL,2017,
IRL,DI,IRL,2017,0
IRL,DI,IRL,2018,0
IRL,DO,IRL,2018,0
IRL,DI,IRL,2019,0
IRL,DO,IRL,2019,0
IRL,DI,IRL,2020,0
IRL,DO,IRL,2020,0
IRL,DI,IRL,2021,0
IRL,DO,IRL,2021,0
IRL,DI,IRL,2022,0
IRL,DO,IRL,2022,0
IRL,DI,IRL,2023,0
IRL,DO,IRL,2023,0
IRL,DI,JPN,2015,13.311
IRL,DO,JPN,2015,4.437
IRL,DI,JPN,2016,419.109
IRL,DO,JPN,2016,-11.058
IRL,DI,JPN,2017,406.944
IRL,DO,JPN,2017,-20.291
IRL,DO,JPN,2018,
IRL,DI,JPN,2018,581.954
IRL,DI,JPN,2019,3550.284
IRL,DO,JPN,2019,
IRL,DI,JPN,2020,
IRL,DO,JPN,2020,10.671
IRL,DO,JPN,2021,
IRL,DI,JPN,2021,1352.85
IRL,DO,JPN,2022,
IRL,DI,JPN,2022,2405.047
IRL,DO,JPN,2023,
IRL,DI,JPN,2023,1916.488
IRL,DO,LUX,2015,8481.42
IRL,DI,LUX,2015,4657.793
IRL,DI,LUX,2016,4598.032
IRL,DO,LUX,2016,10401.415
IRL,DI,LUX,2017,11272.686
IRL,DO,LUX,2017,9696.765
IRL,DI,LUX,2018,18145.356
IRL,DO,LUX,2018,10668.16
IRL,DI,LUX,2019,20336.852
IRL,DO,LUX,2019,12260.562
IRL,DI,LUX,2020,10903.325
IRL,DO,LUX,2020,12501.812
IRL,DI,LUX,2021,16244.276
IRL,DO,LUX,2021,18902.483
IRL,DI,LUX,2022,15219.834
IRL,DO,LUX,2022,13445.042
IRL,DI,LUX,2023,21223.746
IRL,DO,LUX,2023,14464.544
IRL,DI,NLD,2015,13148.087
IRL,DO,NLD,2015,2141.986
IRL,DI,NLD,2016,12987.946
IRL,DO,NLD,2016,2981.312
IRL,DI,NLD,2017,7436.591
IRL,DO,NLD,2017,4123.549
IRL,DI,NLD,2018,6522.131
IRL,DO,NLD,2018,5733.034
IRL,DI,NLD,2019,6189.427
IRL,DO,NLD,2019,5107.265
IRL,DI,NLD,2020,16553.185
IRL,DO,NLD,2020,2384.362
IRL,DI,NLD,2021,23487.216
IRL,DO,NLD,2021,3982.106
IRL,DI,NLD,2022,12672.805
IRL,DO,NLD,2022,4666.345
IRL,DI,NLD,2023,14274.33
IRL,DO,NLD,2023,3555.893
IRL,DI,USA,2015,411.536
IRL,DO,USA,2015,1859.124
IRL,DI,USA,2016,684.507
IRL,DO,USA,2016,498.728
IRL,DI,USA,2017,8332.77
IRL,DO,USA,2017,-1226.468
IRL,DI,USA,2018,12655.364
IRL,DO,USA,2018,-23.889
IRL,DI,USA,2019,11551.237
IRL,DO,USA,2019,674.466
IRL,DI,USA,2020,11406.746
IRL,DO,USA,2020,3533.679
IRL,DI,USA,2021,88194.489
IRL,DO,USA,2021,6172.962
IRL,DO,USA,2022,
IRL,DI,USA,2022,116020.086
IRL,DO,USA,2023,9483.258
IRL,DI,USA,2023,98036.138
JPN,DI,IRL,2015,
JPN,DO,IRL,2015,
JPN,DI,IRL,2016,
JPN,DO,IRL,2016,
JPN,DI,IRL,2017,
JPN,DO,IRL,2017,
JPN,DI,IRL,2018,
JPN,DO,IRL,2018,
JPN,DI,IRL,2019,
JPN,DO,IRL,2019,
JPN,DI,IRL,2020,
JPN,DO,IRL,2020,
JPN,DI,IRL,2021,
JPN,DO,IRL,2021,
JPN,DI,IRL,2022,
JPN,DO,IRL,2022,
JPN,DI,IRL,2023,
JPN,DO,IRL,2023,
JPN,DI,JPN,2015,
JPN,DO,JPN,2015,
JPN,DI,JPN,2016,
JPN,DO,JPN,2016,
JPN,DI,JPN,2017,0
JPN,DO,JPN,2017,0
JPN,DI,JPN,2018,0
JPN,DO,JPN,2018,0
JPN,DI,JPN,2019,0
JPN,DO,JPN,2019,0
JPN,DI,JPN,2020,0
JPN,DO,JPN,2020,0
JPN,DI,JPN,2021,0
JPN,DO,JPN,2021,0
JPN,DI,JPN,2022,
JPN,DO,JPN,2022,
JPN,DI,JPN,2023,0
JPN,DO,JPN,2023,0
JPN,DI,LUX,2015,525.977
JPN,DO,LUX,2015,299.313
JPN,DI,LUX,2016,979.968
JPN,DO,LUX,2016,384.153
JPN,DI,LUX,2017,720.31
JPN,DO,LUX,2017,539.651
JPN,DI,LUX,2018,1159.924
JPN,DO,LUX,2018,430.323
JPN,DI,LUX,2019,1162.384
JPN,DO,LUX,2019,317.94
JPN,DI,LUX,2020,590.348
JPN,DO,LUX,2020,590.511
JPN,DI,LUX,2021,916.296
JPN,DO,LUX,2021,1385.308
JPN,DI,LUX,2022,657.088
JPN,DO,LUX,2022,859.359
JPN,DI,LUX,2023,404.752
JPN,DO,LUX,2023,848.452
JPN,DI,NLD,2015,2750.645
JPN,DO,NLD,2015,8943.937
JPN,DI,NLD,2016,7945.211
JPN,DO,NLD,2016,7745.419
JPN,DI,NLD,2017,4729.512
JPN,DO,NLD,2017,7635.315
JPN,DI,NLD,2018,6063.338
JPN,DO,NLD,2018,10398.84
JPN,DI,NLD,2019,6248.363
JPN,DO,NLD,2019,9587.7
JPN,DI,NLD,2020,4158.143
JPN,DO,NLD,2020,12149.896
JPN,DI,NLD,2021,5262.289
JPN,DO,NLD,2021,14671.662
JPN,DI,NLD,2022,4211.268
JPN,DO,NLD,2022,14749.546
JPN,DI,NLD,2023,5370.942
JPN,DO,NLD,2023,14464.588
JPN,DI,USA,2015,7752.678
JPN,DO,USA,2015,29948.38
JPN,DI,USA,2016,9373.133
JPN,DO,USA,2016,32054.731
JPN,DI,USA,2017,11431.144
JPN,DO,USA,2017,27212.229
JPN,DI,USA,2018,10889.149
JPN,DO,USA,2018,27126.656
JPN,DI,USA,2019,12572.673
JPN,DO,USA,2019,29782.545
JPN,DO,USA,2020,23973.671
JPN,DI,USA,2020,10191.475
JPN,DI,USA,2021,12370.1
JPN,DO,USA,2021,46124.986
JPN,DO,USA,2022,58083.597
JPN,DI,USA,2022,11055.628
JPN,DO,USA,2023,51475.15
JPN,DI,USA,2023,14270.564
LUX,DO,IRL,2015,9920.133
LUX,DI,IRL,2015,5165.835
LUX,DO,IRL,2016,25452.836
LUX,DI,IRL,2016,28995.908
LUX,DO,IRL,2017,15352.271
LUX,DI,IRL,2017,7467.027
LUX,DO,IRL,2018,12731.028
LUX,DI,IRL,2018,8302.844
LUX,DO,IRL,2019,13405.351
LUX,DI,IRL,2019,9236.539
LUX,DO,IRL,2020,8794.302
LUX,DI,IRL,2020,5090.598
LUX,DI,IRL,2021,1899.243
LUX,DO,IRL,2021,3574.976
LUX,DI,IRL,2022,95.699
LUX,DO,IRL,2022,1251.446
LUX,DI,IRL,2023,-180.58
LUX,DO,IRL,2023,1293.253
LUX,DI,JPN,2015,41.043
LUX,DO,JPN,2015,312.812
LUX,DI,JPN,2016,-112.794
LUX,DO,JPN,2016,453.389
LUX,DI,JPN,2017,-66.509
LUX,DO,JPN,2017,523.053
LUX,DI,JPN,2018,110.941
LUX,DO,JPN,2018,666.824
LUX,DO,JPN,2019,837.345
LUX,DI,JPN,2019,-6.717
LUX,DO,JPN,2020,1394.872
LUX,DI,JPN,2020,177.778
LUX,DO,JPN,2021,691.816
LUX,DI,JPN,2021,21.287
LUX,DI,JPN,2022,10.516
LUX,DO,JPN,2022,596.277
LUX,DO,JPN,2023,629.325
LUX,DI,JPN,2023,41.09
LUX,DI,LUX,2015,0
LUX,DO,LUX,2015,0
LUX,DI,LUX,2016,0
LUX,DO,LUX,2016,0
LUX,DI,LUX,2017,0
LUX,DO,LUX,2017,0
LUX,DI,LUX,2018,0
LUX,DO,LUX,2018,0
LUX,DI,LUX,2019,0
LUX,DO,LUX,2019,0
LUX,DI,LUX,2020,0
LUX,DO,LUX,2020,0
LUX,DI,LUX,2021,0
LUX,DO,LUX,2021,0
LUX,DI,LUX,2022,0
LUX,DO,LUX,2022,0
LUX,DI,LUX,2023,0
LUX,DO,LUX,2023,0
LUX,DI,NLD,2015,8297.282
LUX,DO,NLD,2015,19447.587
LUX,DI,NLD,2016,6775.406
LUX,DO,NLD,2016,21465.222
LUX,DI,NLD,2017,14077.331
LUX,DO,NLD,2017,19767.783
LUX,DI,NLD,2018,15315.709
LUX,DO,NLD,2018,25570.636
LUX,DI,NLD,2019,20640.322
LUX,DO,NLD,2019,20156.722
LUX,DI,NLD,2020,12600.57
LUX,DO,NLD,2020,18689.459
LUX,DI,NLD,2021,8651.845
LUX,DO,NLD,2021,18092.479
LUX,DI,NLD,2022,6404.459
LUX,DO,NLD,2022,12742.665
LUX,DI,NLD,2023,5966.696
LUX,DO,NLD,2023,12339.965
LUX,DO,USA,2015,24336.106
LUX,DI,USA,2015,27261.231
LUX,DO,USA,2016,21841.203
LUX,DI,USA,2016,27265.288
LUX,DO,USA,2017,18691.241
LUX,DI,USA,2017,22177.883
LUX,DO,USA,2018,18118.73
LUX,DI,USA,2018,25129.234
LUX,DI,USA,2019,28618.605
LUX,DO,USA,2019,14998.321
LUX,DI,USA,2020,26646.154
LUX,DO,USA,2020,12747.578
LUX,DI,USA,2021,32324.976
LUX,DO,USA,2021,12171.239
LUX,DI,USA,2022,23780.629
LUX,DO,USA,2022,7827.321
LUX,DI,USA,2023,27744.377
LUX,DO,USA,2023,8694.853
NLD,DI,IRL,2015,455.907
NLD,DO,IRL,2015,1285.635
NLD,DI,IRL,2016,642.486
NLD,DO,IRL,2016,1409.93
NLD,DI,IRL,2017,824.033
NLD,DO,IRL,2017,2275.955
NLD,DI,IRL,2018,668.004
NLD,DO,IRL,2018,2772.336
NLD,DI,IRL,2019,5061.01
