"TIME_PERIOD","REF_AREA","MEASURE","SECTOR","STANDARD_REVENUE","CTRY_SPECIFIC_REVENUE","UNIT_MEASURE","FREQ","obsValue","UNIT_MULT","REVENUE_CODE","DECIMALS","CURRENCY","OBS_STATUS"
"2016","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",1.812357,"9","1220","0","_Z","A"
"2022","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",1.949404,"9","1220","0","_Z","A"
"2021","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",2.304748,"9","1220","0","_Z","A"
"2020","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",1.440916,"9","1220","0","_Z","A"
"2019","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",1.674756,"9","1220","0","_Z","A"
"2018","OECD_REP","TAX_REV","S13","T_1220","_T","USD","A",1.412878,"9","1220","0","_Z","A"
"2023","SVK","TAX_REV","S13","T_1200","_T","USD","A",4.704902,"9","1200","0","_Z","A"
"2022","SVK","TAX_REV","S13","T_1200","_T","USD","A",4.224994,"9","1200","0","_Z","A"
"2021","SVK","TAX_REV","S13","T_1200","_T","USD","A",4.296466,"9","1200","0","_Z","A"
"2020","SVK","TAX_REV","S13","T_1200","_T","USD","A",3.197863,"9","1200","0","_Z","A"
"2019","SVK","TAX_REV","S13","T_1200","_T","USD","A",3.22222,"9","1200","0","_Z","A"
"2018","SVK","TAX_REV","S13","T_1200","_T","USD","A",3.475432,"9","1200","0","_Z","A"
"2017","SVK","TAX_REV","S13","T_1200","_T","USD","A",3.304836,"9","1200","0","_Z","A"
"2023","COL","TAX_REV","S13","T_1200","_T","USD","A",26.128877,"9","1200","0","_Z","A"
"2022","COL","TAX_REV","S13","T_1200","_T","USD","A",17.222174,"9","1200","0","_Z","A"
"2021","COL","TAX_REV","S13","T_1200","_T","USD","A",14.540311,"9","1200","0","_Z","A"
"2020","COL","TAX_REV","S13","T_1200","_T","USD","A",11.712502,"9","1200","0","_Z","A"
"2019","COL","TAX_REV","S13","T_1200","_T","USD","A",15.32286,"9","1200","0","_Z","A"
"2018","COL","TAX_REV","S13","T_1200","_T","USD","A",16.459344,"9","1200","0","_Z","A"
"2017","COL","TAX_REV","S13","T_1200","_T","USD","A",15.238638,"9","1200","0","_Z","A"
"2023","DNK","TAX_REV","S13","T_1200","_T","USD","A",15.402609,"9","1200","0","_Z","A"
"2022","DNK","TAX_REV","S13","T_1200","_T","USD","A",13.323739,"9","1200","0","_Z","A"
"2021","DNK","TAX_REV","S13","T_1200","_T","USD","A",16.244324,"9","1200","0","_Z","A"
"2020","DNK","TAX_REV","S13","T_1200","_T","USD","A",10.351395,"9","1200","0","_Z","A"
"2019","DNK","TAX_REV","S13","T_1200","_T","USD","A",10.918446,"9","1200","0","_Z","A"
"2018","DNK","TAX_REV","S13","T_1200","_T","USD","A",9.870208,"9","1200","0","_Z","A"
"2017","DNK","TAX_REV","S13","T_1200","_T","USD","A",10.881367,"9","1200","0","_Z","A"
"2023","TUR","TAX_REV","S13","T_1200","_T","USD","A",33.124075,"9","1200","0","_Z","A"
"2022","TUR","TAX_REV","S13","T_1200","_T","USD","A",30.663972,"9","1200","0","_Z","A"
"2021","TUR","TAX_REV","S13","T_1200","_T","USD","A",20.108988,"9","1200","0","_Z","A"
"2020","TUR","TAX_REV","S13","T_1200","_T","USD","A",14.989669,"9","1200","0","_Z","A"
"2019","TUR","TAX_REV","S13","T_1200","_T","USD","A",13.893461,"9","1200","0","_Z","A"
"2018","TUR","TAX_REV","S13","T_1200","_T","USD","A",16.29397,"9","1200","0","_Z","A"
"2017","TUR","TAX_REV","S13","T_1200","_T","USD","A",14.502143,"9","1200","0","_Z","A"
"2023","FIN","TAX_REV","S13","T_1200","_T","USD","A",8.585269,"9","1200","0","_Z","A"
"2022","FIN","TAX_REV","S13","T_1200","_T","USD","A",8.483358,"9","1200","0","_Z","A"
"2021","FIN","TAX_REV","S13","T_1200","_T","USD","A",8.095859,"9","1200","0","_Z","A"
"2020","FIN","TAX_REV","S13","T_1200","_T","USD","A",5.812639,"9","1200","0","_Z","A"
"2019","FIN","TAX_REV","S13","T_1200","_T","USD","A",6.794093,"9","1200","0","_Z","A"
"2018","FIN","TAX_REV","S13","T_1200","_T","USD","A",7.010143,"9","1200","0","_Z","A"
"2017","FIN","TAX_REV","S13","T_1200","_T","USD","A",6.921553,"9","1200","0","_Z","A"
"2016","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","NOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","ISL","TAX_REV","S13","T_1210","_T","USD","A",1.04764,"9","1210","0","_Z","A"
"2022","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.745928,"9","1210","0","_Z","A"
"2021","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.515431,"9","1210","0","_Z","A"
"2020","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.475901,"9","1210","0","_Z","A"
"2019","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.513613,"9","1210","0","_Z","A"
"2018","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.625339,"9","1210","0","_Z","A"
"2017","ISL","TAX_REV","S13","T_1210","_T","USD","A",0.748725,"9","1210","0","_Z","A"
"2023","NZL","TAX_REV","S13","T_1200","_T","USD","A",10.652572,"9","1200","0","_Z","A"
"2022","NZL","TAX_REV","S13","T_1200","_T","USD","A",11.17102,"9","1200","0","_Z","A"
"2021","NZL","TAX_REV","S13","T_1200","_T","USD","A",13.220403,"9","1200","0","_Z","A"
"2020","NZL","TAX_REV","S13","T_1200","_T","USD","A",12.056736,"9","1200","0","_Z","A"
"2019","NZL","TAX_REV","S13","T_1200","_T","USD","A",8.114557,"9","1200","0","_Z","A"
"2018","NZL","TAX_REV","S13","T_1200","_T","USD","A",10.501722,"9","1200","0","_Z","A"
"2017","NZL","TAX_REV","S13","T_1200","_T","USD","A",9.523723,"9","1200","0","_Z","A"
