"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2017","A","AUS","S1","S1","D","B1G","_Z","_Z","XDC","S","V","N","T0800",1842045,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",388334,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",345852,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",321651,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",154739,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",149490,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",594267,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",624746,"W","_Z","2","6","AUD","F","A"
"2021","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",557630,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",472507,"W","_Z","2","6","AUD","F","A"
"2019","A","AUS","S11","S1","C","B2G","_Z","_Z","XDC","S","V","N","T0800",424518,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",345852,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",321651,"W","_Z","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","C","D41","_Z","_Z","XDC","S","V","N","T0800",43705,"W","N","2","6","AUD","F","A"
