REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
ARG,USD,2016,15988.708,Millions,1200
ARG,USD,2017,17945.061,Millions,1200
ARG,USD,2018,14272.046,Millions,1200
ARG,USD,2019,12226.618,Millions,1200
ARG,USD,2020,10709.178,Millions,1200
ARG,USD,2021,12111.322,Millions,1200
ARG,USD,2022,18346.339,Millions,1200
AUS,USD,2016,59.598,Billions,1200
AUS,USD,2017,72.849,Billions,1200
AUS,USD,2018,75.908,Billions,1200
AUS,USD,2019,65.027,Billions,1200
AUS,USD,2020,79.722,Billions,1200
AUS,USD,2021,110.32,Billions,1200
AUS,USD,2022,111.512,Billions,1200
BOL,USD,2016,1513.027,Millions,1200
BOL,USD,2017,1406.688,Millions,1200
BOL,USD,2018,1467.339,Millions,1200
BOL,USD,2019,1579.92,Millions,1200
BOL,USD,2020,1010.414,Millions,1200
BOL,USD,2021,1047.687,Millions,1200
BOL,USD,2022,1442.514,Millions,1200
SVK,USD,2016,3.119,Billions,1200
SVK,USD,2017,3.305,Billions,1200
SVK,USD,2018,3.475,Billions,1200
SVK,USD,2019,3.222,Billions,1200
SVK,USD,2020,3.198,Billions,1200
SVK,USD,2021,4.296,Billions,1200
SVK,USD,2022,4.225,Billions,1200
BTN,USD,2016,141.714,Millions,1200
BTN,USD,2017,157.659,Millions,1200
BTN,USD,2018,159.818,Millions,1200
BTN,USD,2019,122.643,Millions,1200
BTN,USD,2020,114.059,Millions,1200
BTN,USD,2021,154.109,Millions,1200
BTN,USD,2022,161.878,Millions,1200
PRY,USD,2016,711.157,Millions,1200
PRY,USD,2017,811.557,Millions,1200
PRY,USD,2018,809.307,Millions,1200
PRY,USD,2019,865.731,Millions,1200
PRY,USD,2020,808.408,Millions,1200
PRY,USD,2021,967.76,Millions,1200
PRY,USD,2022,1188.501,Millions,1200
MNG,USD,2016,242.344,Millions,1200
MNG,USD,2017,394.363,Millions,1200
MNG,USD,2018,517.59,Millions,1200
MNG,USD,2019,623.43,Millions,1200
MNG,USD,2020,497.096,Millions,1200
MNG,USD,2021,776.157,Millions,1200
MNG,USD,2022,800.721,Millions,1200
NRU,USD,2016,0,Millions,1200
NRU,USD,2017,0,Millions,1200
NRU,USD,2018,0,Millions,1200
NRU,USD,2019,0,Millions,1200
NRU,USD,2020,0,Millions,1200
NRU,USD,2021,0,Millions,1200
NRU,USD,2022,0,Millions,1200
HND,USD,2016,876.643,Millions,1200
HND,USD,2017,958.913,Millions,1200
HND,USD,2018,1033.464,Millions,1200
HND,USD,2019,945.31,Millions,1200
HND,USD,2020,580.613,Millions,1200
HND,USD,2021,866.313,Millions,1200
HND,USD,2022,1250.587,Millions,1200
KEN,USD,2016,1527.351,Millions,1200
KEN,USD,2017,1756.206,Millions,1200
KEN,USD,2018,1563.477,Millions,1200
KEN,USD,2019,1658.625,Millions,1200
